doi,title,year,journal,first_author,publication_date,community_archive,aadr_archive,minotaur_archive,nr_adna_samples
10.1016/j.cub.2024.07.063,No Title Available,0,No Journal,N/A,0000-00-00,False,False,False,69
10.1038/s41586-024-07881-4,No Title Available,0,No Journal,N/A,0000-00-00,False,False,False,15
10.1016/j.xgen.2024.100593,No Title Available,0,No Journal,N/A,0000-00-00,False,False,False,1
10.1038/s41586-025-08913-3,No Title Available,0,No Journal,N/A,0000-00-00,False,False,False,210
10.1038/s41586-024-08531-5,No Title Available,0,No Journal,N/A,0000-00-00,True,False,False,354
10.1002/ajpa.24079,No Title Available,0,No Journal,N/A,0000-00-00,True,True,False,34
10.1016/j.ajhg.2017.06.013,No Title Available,0,No Journal,N/A,0000-00-00,True,True,False,5
10.1016/j.ajhg.2020.05.008,No Title Available,0,No Journal,N/A,0000-00-00,True,True,False,19
10.1016/j.cell.2017.08.049,No Title Available,0,No Journal,N/A,0000-00-00,True,True,False,25
10.1016/j.cell.2020.10.015,No Title Available,0,No Journal,N/A,0000-00-00,True,True,False,194
10.1016/j.cub.2014.09.078,No Title Available,0,No Journal,N/A,0000-00-00,True,True,False,2
10.1016/j.cub.2015.12.019,No Title Available,0,No Journal,N/A,0000-00-00,True,True,False,2
10.1016/j.cub.2016.07.057,No Title Available,0,No Journal,N/A,0000-00-00,True,True,False,9
10.1016/j.cub.2016.12.060,No Title Available,0,No Journal,N/A,0000-00-00,True,True,False,8
10.1016/j.cub.2017.05.023,No Title Available,0,No Journal,N/A,0000-00-00,True,True,False,6
10.1016/j.cub.2017.06.022,No Title Available,0,No Journal,N/A,0000-00-00,True,True,False,7
10.1016/j.cub.2017.09.030,No Title Available,0,No Journal,N/A,0000-00-00,True,True,False,1
10.1016/j.cub.2017.09.059,No Title Available,0,No Journal,N/A,0000-00-00,True,True,False,5
10.1016/j.cub.2018.02.051,No Title Available,0,No Journal,N/A,0000-00-00,True,True,False,22
10.1016/j.cub.2018.06.053,No Title Available,0,No Journal,N/A,0000-00-00,True,True,True,23
10.1016/j.cub.2020.04.002,No Title Available,0,No Journal,N/A,0000-00-00,True,True,False,3
10.1016/j.cub.2020.08.033,No Title Available,0,No Journal,N/A,0000-00-00,True,True,False,19
10.1016/j.cub.2020.12.015,No Title Available,0,No Journal,N/A,0000-00-00,True,True,False,25
10.1016/j.cub.2021.03.050,No Title Available,0,No Journal,N/A,0000-00-00,True,True,True,21
10.1016/j.cub.2021.03.078,No Title Available,0,No Journal,N/A,0000-00-00,True,True,False,1
10.1016/j.cub.2021.04.045,No Title Available,0,No Journal,N/A,0000-00-00,True,True,False,2
10.1038/jhg.2016.110,No Title Available,0,No Journal,N/A,0000-00-00,True,True,False,5
10.1038/nature08835,No Title Available,0,No Journal,N/A,0000-00-00,True,True,False,1
10.1038/nature12736,No Title Available,0,No Journal,N/A,0000-00-00,True,True,False,2
10.1038/nature12886,No Title Available,0,No Journal,N/A,0000-00-00,True,True,False,1
10.1038/nature12960,No Title Available,0,No Journal,N/A,0000-00-00,True,True,False,1
10.1038/nature13025,No Title Available,0,No Journal,N/A,0000-00-00,True,True,False,1
10.1038/nature13673,No Title Available,0,No Journal,N/A,0000-00-00,True,True,False,3
10.1038/nature13810,No Title Available,0,No Journal,N/A,0000-00-00,True,True,False,1
10.1038/nature14507,No Title Available,0,No Journal,N/A,0000-00-00,True,True,False,98
10.1038/nature14558,No Title Available,0,No Journal,N/A,0000-00-00,True,True,False,1
10.1038/nature14625,No Title Available,0,No Journal,N/A,0000-00-00,True,True,False,1
10.1038/nature15393,No Title Available,0,No Journal,N/A,0000-00-00,True,True,False,0
10.1038/nature16152,No Title Available,0,No Journal,N/A,0000-00-00,True,True,False,142
10.1038/nature17993,No Title Available,0,No Journal,N/A,0000-00-00,True,True,False,40
10.1038/nature19310,No Title Available,0,No Journal,N/A,0000-00-00,True,True,False,41
10.1038/nature19844,No Title Available,0,No Journal,N/A,0000-00-00,True,True,False,4
10.1038/nature23310,No Title Available,0,No Journal,N/A,0000-00-00,True,True,False,20
10.1038/nature24476,No Title Available,0,No Journal,N/A,0000-00-00,True,True,False,138
10.1038/nature25173,No Title Available,0,No Journal,N/A,0000-00-00,True,True,False,2
10.1038/nature25738,No Title Available,0,No Journal,N/A,0000-00-00,True,True,False,398
10.1038/nature25778,No Title Available,0,No Journal,N/A,0000-00-00,True,True,False,226
10.1038/nature26151,No Title Available,0,No Journal,N/A,0000-00-00,True,True,False,6
10.1038/ncomms10326,No Title Available,0,No Journal,N/A,0000-00-00,True,True,False,9
10.1038/ncomms10408,No Title Available,0,No Journal,N/A,0000-00-00,True,True,False,10
10.1038/ncomms14115,No Title Available,0,No Journal,N/A,0000-00-00,True,True,False,5
10.1038/ncomms14615,No Title Available,0,No Journal,N/A,0000-00-00,True,True,False,8
10.1038/ncomms1701,No Title Available,0,No Journal,N/A,0000-00-00,True,True,False,1
10.1038/ncomms2140,No Title Available,0,No Journal,N/A,0000-00-00,True,True,False,0
10.1038/ncomms6257,No Title Available,0,No Journal,N/A,0000-00-00,True,True,False,13
10.1038/ncomms9912,No Title Available,0,No Journal,N/A,0000-00-00,True,True,False,3
10.1038/ng.3621,No Title Available,0,No Journal,N/A,0000-00-00,True,True,False,0
10.1038/s41467-018-05649-9,No Title Available,0,No Journal,N/A,0000-00-00,True,True,False,22
10.1038/s41467-018-06024-4,No Title Available,0,No Journal,N/A,0000-00-00,True,True,False,63
10.1038/s41467-020-14523-6,No Title Available,0,No Journal,N/A,0000-00-00,True,True,False,70
10.1038/s41467-023-44328-2,No Title Available,0,No Journal,N/A,0000-00-00,True,True,False,33
10.1038/s41559-018-0498-2,No Title Available,0,No Journal,N/A,0000-00-00,True,True,False,19
10.1038/s41559-019-0871-9,No Title Available,0,No Journal,N/A,0000-00-00,True,True,False,70
10.1038/s41559-019-0878-2,No Title Available,0,No Journal,N/A,0000-00-00,True,True,False,2
10.1038/s41559-020-1102-0,No Title Available,0,No Journal,N/A,0000-00-00,True,True,False,62
10.1038/s41586-018-0094-2,No Title Available,0,No Journal,N/A,0000-00-00,True,True,False,137
10.1038/s41586-018-0455-x,No Title Available,0,No Journal,N/A,0000-00-00,True,True,False,1
10.1038/s41586-019-1251-y,No Title Available,0,No Journal,N/A,0000-00-00,True,True,False,49
10.1038/s41586-020-03053-2,No Title Available,0,No Journal,N/A,0000-00-00,True,True,False,174
10.1038/s41586-020-1929-1,No Title Available,0,No Journal,N/A,0000-00-00,True,True,False,7
10.1038/s41586-020-2688-8,No Title Available,0,No Journal,N/A,0000-00-00,True,True,True,442
10.1038/s41586-021-03336-2,No Title Available,0,No Journal,N/A,0000-00-00,True,True,False,191
10.1038/s41586-021-03823-6,No Title Available,0,No Journal,N/A,0000-00-00,True,True,True,1
10.1038/s41586-022-05247-2,No Title Available,0,No Journal,N/A,0000-00-00,True,True,True,487
10.1038/s41586-023-06334-8,No Title Available,0,No Journal,N/A,0000-00-00,True,True,False,119
10.1038/s41598-018-33067-w,No Title Available,0,No Journal,N/A,0000-00-00,True,True,False,17
10.1038/s41598-021-89090-x,No Title Available,0,No Journal,N/A,0000-00-00,True,True,False,24
10.1038/s42003-020-01372-8,No Title Available,0,No Journal,N/A,0000-00-00,True,True,False,3
10.1073/pnas.1509851112,No Title Available,0,No Journal,N/A,0000-00-00,True,True,False,5
10.1073/pnas.1518445113,No Title Available,0,No Journal,N/A,0000-00-00,True,True,False,4
10.1073/pnas.1520844113,No Title Available,0,No Journal,N/A,0000-00-00,True,True,False,8
10.1073/pnas.1523951113,No Title Available,0,No Journal,N/A,0000-00-00,True,True,False,5
10.1073/pnas.1620410114,No Title Available,0,No Journal,N/A,0000-00-00,True,True,False,1
10.1073/pnas.1715688115,No Title Available,0,No Journal,N/A,0000-00-00,True,True,False,4
10.1073/pnas.1716839115,No Title Available,0,No Journal,N/A,0000-00-00,True,True,False,1
10.1073/pnas.1717762115,No Title Available,0,No Journal,N/A,0000-00-00,True,True,False,11
10.1073/pnas.1719880115,No Title Available,0,No Journal,N/A,0000-00-00,True,True,False,41
10.1073/pnas.1800851115,No Title Available,0,No Journal,N/A,0000-00-00,True,True,False,12
10.1073/pnas.2004944117,No Title Available,0,No Journal,N/A,0000-00-00,True,True,False,1
10.1073/pnas.2022112118,No Title Available,0,No Journal,N/A,0000-00-00,True,True,False,2
10.1073/pnas.2026132118,No Title Available,0,No Journal,N/A,0000-00-00,True,True,False,2
10.1080/00758914.2017.1368204,No Title Available,0,No Journal,N/A,0000-00-00,True,True,False,2
10.1093/molbev/msv181,No Title Available,0,No Journal,N/A,0000-00-00,True,True,False,1
10.1093/molbev/msz267,No Title Available,0,No Journal,N/A,0000-00-00,True,True,False,2
10.1101/gr.267534.120,No Title Available,0,No Journal,N/A,0000-00-00,True,True,False,16
10.1126/sciadv.aat4457,No Title Available,0,No Journal,N/A,0000-00-00,True,True,False,35
10.1126/sciadv.aau4921,No Title Available,0,No Journal,N/A,0000-00-00,True,True,False,7
10.1126/sciadv.aaz0183,No Title Available,0,No Journal,N/A,0000-00-00,True,True,False,19
10.1126/sciadv.abc4587,No Title Available,0,No Journal,N/A,0000-00-00,True,True,False,40
10.1126/sciadv.abd6535,No Title Available,0,No Journal,N/A,0000-00-00,True,True,True,29
10.1126/sciadv.abe4414,No Title Available,0,No Journal,N/A,0000-00-00,True,True,False,117
10.1126/sciadv.abi6941,No Title Available,0,No Journal,N/A,0000-00-00,True,True,True,283
10.1126/science.1224344,No Title Available,0,No Journal,N/A,0000-00-00,True,True,False,1
10.1126/science.1253448,No Title Available,0,No Journal,N/A,0000-00-00,True,True,False,11
10.1126/science.1255832,No Title Available,0,No Journal,N/A,0000-00-00,True,True,False,4
10.1126/science.aaa0114,No Title Available,0,No Journal,N/A,0000-00-00,True,True,False,1
10.1126/science.aab3884,No Title Available,0,No Journal,N/A,0000-00-00,True,True,False,23
10.1126/science.aad2879,No Title Available,0,No Journal,N/A,0000-00-00,True,True,False,1
10.1126/science.aae0344,No Title Available,0,No Journal,N/A,0000-00-00,True,False,False,0
10.1126/science.aaf7943,No Title Available,0,No Journal,N/A,0000-00-00,True,True,False,5
10.1126/science.aao1807,No Title Available,0,No Journal,N/A,0000-00-00,True,True,False,7
10.1126/science.aao1887,No Title Available,0,No Journal,N/A,0000-00-00,True,True,False,5
10.1126/science.aao6266,No Title Available,0,No Journal,N/A,0000-00-00,True,True,False,7
10.1126/science.aar6851,No Title Available,0,No Journal,N/A,0000-00-00,True,True,False,75
10.1126/science.aar7711,No Title Available,0,No Journal,N/A,0000-00-00,True,True,False,70
10.1126/science.aat3188,No Title Available,0,No Journal,N/A,0000-00-00,True,True,False,25
10.1126/science.aat3628,No Title Available,0,No Journal,N/A,0000-00-00,True,True,False,26
10.1126/science.aat7487,No Title Available,0,No Journal,N/A,0000-00-00,True,True,False,542
10.1126/science.aav2621,No Title Available,0,No Journal,N/A,0000-00-00,True,True,False,17
10.1126/science.aav4040,No Title Available,0,No Journal,N/A,0000-00-00,True,True,False,277
10.1126/science.aaw6275,No Title Available,0,No Journal,N/A,0000-00-00,True,True,False,43
10.1126/science.aay5012,No Title Available,0,No Journal,N/A,0000-00-00,True,True,False,0
10.1126/science.aba8697,No Title Available,0,No Journal,N/A,0000-00-00,True,True,True,93
10.1126/science.abc1166,No Title Available,0,No Journal,N/A,0000-00-00,True,True,False,1
10.1371/journal.pbio.1001091,No Title Available,0,No Journal,N/A,0000-00-00,True,False,False,0
10.1371/journal.pbio.2003703,No Title Available,0,No Journal,N/A,0000-00-00,True,True,False,7
10.1371/journal.pgen.1006852,No Title Available,0,No Journal,N/A,0000-00-00,True,True,False,14
10.1371/journal.pone.0244872,No Title Available,0,No Journal,N/A,0000-00-00,True,True,False,3
10.1371/journal.pone.0247332,No Title Available,0,No Journal,N/A,0000-00-00,True,True,False,38
10.1534/genetics.112.145037,No Title Available,0,No Journal,N/A,0000-00-00,True,True,False,0
10.1016/j.cub.2022.11.036,No Title Available,0,No Journal,N/A,0000-00-00,True,True,True,31
10.1038/s41598-021-94932-9,No Title Available,0,No Journal,N/A,0000-00-00,True,True,False,28
10.1007/s12520-024-02036-y,No Title Available,0,No Journal,N/A,0000-00-00,False,True,False,14
10.1016/j.ajhg.2019.03.015,No Title Available,0,No Journal,N/A,0000-00-00,True,True,False,13
10.1016/j.ajhg.2023.08.001,No Title Available,0,No Journal,N/A,0000-00-00,False,True,False,20
10.1016/j.cell.2018.10.027,No Title Available,0,No Journal,N/A,0000-00-00,True,True,False,51
10.1016/j.cell.2019.02.035,No Title Available,0,No Journal,N/A,0000-00-00,False,True,False,0
10.1016/j.cell.2019.08.048,No Title Available,0,No Journal,N/A,0000-00-00,True,True,False,1
10.1016/j.cell.2020.04.015,No Title Available,0,No Journal,N/A,0000-00-00,True,True,False,60
10.1016/j.cell.2020.04.024,No Title Available,0,No Journal,N/A,0000-00-00,True,True,False,72
10.1016/j.cell.2020.04.037,No Title Available,0,No Journal,N/A,0000-00-00,True,True,False,31
10.1016/j.cell.2020.04.044,No Title Available,0,No Journal,N/A,0000-00-00,True,True,False,110
10.1016/j.cell.2021.05.018,No Title Available,0,No Journal,N/A,0000-00-00,False,True,False,31
10.1016/j.cell.2022.04.008,No Title Available,0,No Journal,N/A,0000-00-00,False,True,False,15
10.1016/j.cell.2022.08.004,No Title Available,0,No Journal,N/A,0000-00-00,False,True,False,0
10.1016/j.cell.2022.11.002,No Title Available,0,No Journal,N/A,0000-00-00,False,True,False,33
10.1016/j.cell.2022.11.024,No Title Available,0,No Journal,N/A,0000-00-00,False,True,True,158
10.1016/j.cell.2023.10.018,No Title Available,0,No Journal,N/A,0000-00-00,False,True,True,141
10.1016/j.cub.2019.02.006,No Title Available,0,No Journal,N/A,0000-00-00,True,True,False,12
10.1016/j.cub.2019.04.026,No Title Available,0,No Journal,N/A,0000-00-00,True,True,False,43
10.1016/j.cub.2019.06.019,No Title Available,0,No Journal,N/A,0000-00-00,True,True,False,31
10.1016/j.cub.2019.06.044,No Title Available,0,No Journal,N/A,0000-00-00,True,True,False,11
10.1016/j.cub.2020.09.035,No Title Available,0,No Journal,N/A,0000-00-00,False,True,False,12
10.1016/j.cub.2021.04.022,No Title Available,0,No Journal,N/A,0000-00-00,True,True,False,11
10.1016/j.cub.2022.04.069,No Title Available,0,No Journal,N/A,0000-00-00,False,True,False,3
10.1016/j.cub.2022.04.093,No Title Available,0,No Journal,N/A,0000-00-00,False,True,False,291
10.1016/j.cub.2022.06.004,No Title Available,0,No Journal,N/A,0000-00-00,False,True,False,8
10.1016/j.cub.2022.06.016,No Title Available,0,No Journal,N/A,0000-00-00,False,True,False,1
10.1016/j.cub.2022.08.036,No Title Available,0,No Journal,N/A,0000-00-00,False,True,False,6
10.1016/j.cub.2022.11.034,No Title Available,0,No Journal,N/A,0000-00-00,True,True,False,37
10.1016/j.cub.2022.11.062,No Title Available,0,No Journal,N/A,0000-00-00,False,True,False,10
10.1016/j.cub.2023.02.041,No Title Available,0,No Journal,N/A,0000-00-00,False,True,False,2
10.1016/j.isci.2021.102383,No Title Available,0,No Journal,N/A,0000-00-00,False,True,False,10
10.1016/j.isci.2022.104094,No Title Available,0,No Journal,N/A,0000-00-00,False,True,True,48
10.1016/j.isci.2022.104244,No Title Available,0,No Journal,N/A,0000-00-00,True,True,False,20
